APPL_ID,DIR_QAQC_2018_01_AF,DIR_QAQC_2018_02_AF,DIR_QAQC_2018_03_AF,DIR_QAQC_2018_04_AF,DIR_QAQC_2018_05_AF,DIR_QAQC_2018_06_AF,DIR_QAQC_2018_07_AF,DIR_QAQC_2018_08_AF,DIR_QAQC_2018_09_AF,DIR_QAQC_2018_10_AF,DIR_QAQC_2018_11_AF,DIR_QAQC_2018_12_AF,STOR_QAQC_2018_01_AF,STOR_QAQC_2018_02_AF,STOR_QAQC_2018_03_AF,STOR_QAQC_2018_04_AF,STOR_QAQC_2018_05_AF,STOR_QAQC_2018_06_AF,STOR_QAQC_2018_07_AF,STOR_QAQC_2018_08_AF,STOR_QAQC_2018_09_AF,STOR_QAQC_2018_10_AF,STOR_QAQC_2018_11_AF,STOR_QAQC_2018_12_AF,DIR_QAQC_2019_01_AF,DIR_QAQC_2019_02_AF,DIR_QAQC_2019_03_AF,DIR_QAQC_2019_04_AF,DIR_QAQC_2019_05_AF,DIR_QAQC_2019_06_AF,DIR_QAQC_2019_07_AF,DIR_QAQC_2019_08_AF,DIR_QAQC_2019_09_AF,DIR_QAQC_2019_10_AF,DIR_QAQC_2019_11_AF,DIR_QAQC_2019_12_AF,STOR_QAQC_2019_01_AF,STOR_QAQC_2019_02_AF,STOR_QAQC_2019_03_AF,STOR_QAQC_2019_04_AF,STOR_QAQC_2019_05_AF,STOR_QAQC_2019_06_AF,STOR_QAQC_2019_07_AF,STOR_QAQC_2019_08_AF,STOR_QAQC_2019_09_AF,STOR_QAQC_2019_10_AF,STOR_QAQC_2019_11_AF,STOR_QAQC_2019_12_AF
A000657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000685,0,0,0,0,0,0,0,0,0,0,0,0,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0,0,0,0,0,0,0,0,0,0,0,0,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444,0.01534444
A000732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.81,245.67,395.84,998.05,997.69,590.02,196.14,166.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000735,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000742,0,0,0,520,859,1480,1405,550,363,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,893,1394,1929,1922,216,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000760,0,0,0,0,0,0,0,0,0,0,0,0,363,180,495,542,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,655,621,317,0,0,0,0,0,0,0,0
A000763,0,0,0,0,12316,14386,16458,5793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6772,11725,17346,9654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000771,0,0,98.8,144.1,147.8,191.3,150.5,111.5,168.1,10.7,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,8,49,56,260,160,70,90,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A000772,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0,0,0,0,0,0,0,0,0,0,0,0
A000784,0,0,0,0,0,0,0,0,0,0,0,0,750,760,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,650,600,0,0,0,0,0,0,0,0,0
A000829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000862,0,0,0,0,0,30,30,30,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000878,0,0,0,1735,7177,6945,7177,7177,3990,6919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,7177,6945,7177,7177,4116,5446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000879,0,0,0,0,1553,1503,1553,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,1503,1553,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000880A,0,0,0,0,24892,24089,24892,19839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23948,24089,24892,24892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000880B,0,0,0,0,51.54,48.15,24.98,5.99,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.62,75.61,42.95,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000880C,0,0,0,0,93.17,102.62,16.2,8.1,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.05,16.2,8.1,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000882A,0,0,0,50,64,60,58,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000882B,0,0,0,0,4,38,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000930,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,0,0,0,0,40,0
A000959,0,0,0,0,788,244,0,60,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,788,177,0,310,788,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000992,0,0,0,0,0,0,0,0,0,0,0,0,155,140,220.5,110,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,60.8,192,72,384,0,0,0,0,0,0,0,0.32
A000993,0,0,0,0,0,0,0,0,0,0,0,0,70.5,85,120,60,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,34.2,108,40.5,216,0,0,0,0,0,0,0,0.18
A000994,0,0,0,0,0,0,0,0,0,0,0,0,20,25,50,20.5,0,0,0,0,0,0,3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,11.4,36,13.5,72,0,0,0,0,0,0,0,0.06
A001024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001036,0,0,0,0,0.000384,0.000384,0.000384,0.000384,0.000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384,0.000384,0.000384,0.000384,0.000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001041,0,0,0,0,455,455,455,455,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001042,0,0,0,0,0,0,0,0,0,0,0,0,263.7917,0,172.2521,342.5355,412.4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,181,212,0,0,0,0,0,0,0,13
A001056,0,0,0,0,2332,2257,2332,2332,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332,2257,2332,2332,1193,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001060,0,0,0,0,19.7,19.7,19.7,19.7,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001074A,0,0,0,0,32.42,40.2,32.42,24.73,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,15.56,11.36,5.24,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001074B,0,0,0,844,5585,6180,5884,4692,1654,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,3666,4558,5235,4084,1382,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94410,1791,0,0,0,0,0,0,1991,21225,0,0,0,0,0,0,0,0,0,0,0,0,80859,15336,0,0,0,0,0,0,0,0,0,0
A001094,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,19.6,19.6,19.6,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.913,0,0,0,0,0,0,0,66.087,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,80
A001150,0,0,0,684,1414,1368,1414,1414,1368,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,979,947,979,979,947,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001160,0,0,0,0,2490,2410,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,2490,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001164,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,100
A001177,0,0,0,592,809,809,809,809,325,809,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,809,809,809,809,325,809,400,400,0,0,0,0,0,0,0,0,0,0,0,0
A001178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001179,95,89,73,1850,195,159,175,200,67,850,263,153,0,0,0,0,0,0,0,0,0,0,0,0,80,91,120,1799,450,79,207,450,66,670,101,56,0,0,0,0,0,0,0,0,0,0,0,0
A001193,0.512,0.463,0.512,0.496,0.512,0.496,0.512,0.512,0.496,0.512,0.496,0.512,0,0,0,0,0,0,0,0,0,0,0,0,0.496,0.512,0.463,0.496,0.512,0.512,0.496,0.512,0.463,0.512,0.496,0.512,0,0,0,0,0,0,0,0,0,0,0,0
A001195,0,0,573.65,1419,1632,1633,1858.65,1841.45,755.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001199A,0,0,0,0,0,1965,2920,1981,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,4274,3177,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001199B,0,0,0,0,2459,2380,2459,308,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2459,2380,1874,480,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001203,0,0,0,0,9821,9504,9821,8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,6697,9820,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190811,0.257682,0.338182,0.322249,0.239241,0.185711,0,0
A001221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001224,0,0,0,0,0,0,0,0,0,0,0,0,13700,2476,149393,87635,0,0,0,0,0,0,4883,2699,0,0,0,0,0,0,0,0,0,0,0,0,47451,116554,10268,84345,0,0,0,0,0,0,290,16762
A001232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001233,0,0,0,0,0,0,0,0,0,0,0,0,22000,2000,117000,95000,21000,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,71000,161000,0,61000,32000,0,0,0,0,0,0,0
A001252,0,0,0,0,0,0,0,0,0,0,0,0,60,70,120,55,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,30.4,96,36,192,0,0,0,0,0,0,0,0.16
A001270,0,0,0,2552,2571,930,615,673,277,0,0,0,6,0,783,2992,443,317,0,0,0,0,0,0,0,0,0,2516,3819,3357,2647,713,1223,0,0,0,0,0,0,1357,9517,642,0,0,0,0,0,0
A001300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001321,0,0,0,0,0,0,0,0,0,0,0,0,394.7111,325.263,1563.8997,2908.9062,907.2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,2735,1268,371,0,0,0,0,0,0,0,0
A001322,0,0,0,9,35.8,41.1,31.4,18.2,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,30.74,29.75,30.74,30.74,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001341,0,0,0,0,0,0,0,0,0,0,0,0,3640,4520,8190,404,306,1480,14100,15090,10230,9800,9890,10200,0,0,0,0,0,0,0,0,0,0,0,0,9720,8860,9690,6520,5600,6340,5100,10180,1140,0,168,6640
A001342,0,0,0,0,0,0,0,0,0,0,0,0,657,608,1850,9810,12850,11680,5980,2070,511,733,309,1530,0,0,0,0,0,0,0,0,0,0,0,0,3170,478,1140,4000,0,0,2920,149,0,0,23,745
A001343,0,0,0,0,0,0,0,0,0,0,0,0,1440,817,2670,118,36740,49810,34790,22950,22860,1360,383,1870,0,0,0,0,0,0,0,0,0,0,0,0,3280,7340,6270,19690,38910,15450,55260,45830,1190,234,24210,2280
A001344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3473,3361,3473,3473,3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,3270,946,59,1.5,2.6,2,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,6610,0,0,0,0,0,0,0,0
A001346,0,0,0,0,0,0,0,0,0,0,0,0,9150,4940,1010,24040,12120,23970,31210,30230,28200,28810,12530,24470,0,0,0,0,0,0,0,0,0,0,0,0,6270,2830,2560,3490,2890,1020,480,372,340,352,2360,4510
A001413,0,0,0,0,1252,467,5962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001422,0,0,0,298,615,595,615,615,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,556,606,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1608,0,4130,1686,4632,526,0,0,0,0,0
A001442B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001442C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001442F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,17,25,35,7,29,574,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,26,60,163,26,0,0,59,0,512,123,40
